,user_id,count(followees_ids)
0,2963635366,54
1,2234323206,222
2,1668222169,181
3,2934248271,66
4,1420696112,58
5,357962717,167
6,2426360784,44
7,1418067878,24
8,1637296741,32
9,2576851747,285
10,2259416204,33
11,635445298,4
12,122357794,2
13,2535302305,40
14,1297483604,149
15,1381012927,24
16,590622020,124
17,1429475934,55
18,993769699,13
19,970741922,17
20,2254709844,9
21,2999155476,6
22,2738930911,26
23,1153227272,26
24,572175909,38
25,195314714,60
26,315601492,507
27,1687670749,19
28,2439482934,484
29,38369595,3
30,1953668466,1230
31,325217854,2
32,599397015,18
33,1087825225,2
34,453460299,3
35,2738422136,24
36,2872644659,232
37,710192461,57
38,2291668629,29
39,140883253,51
40,1326877994,1
41,1025744574,13
42,569010167,9
43,65514628,21
44,433047722,4
45,563478013,7
46,2305631532,112
47,296974257,20
48,2760737733,5
49,1107192589,21
50,2154145589,14
51,280884958,15
52,2324541144,3
53,2609504754,1
54,1644945656,33
55,397165180,9
56,2367882805,95
57,297936676,20
58,2902583986,93
59,2595251665,102
60,2175791825,5
61,113647065,3
62,554689551,9
63,144095664,1
64,2484691443,9
65,1639396891,2
66,759670502,23
67,326528680,70
68,187642171,1
69,1225077054,4
70,2826482433,14
71,389509750,283
72,532877108,9
73,2556672481,302
74,2572807573,257
75,530046756,2
76,1245924085,497
77,584171990,83
78,25115698,2
79,493795363,5
80,259200501,12
81,2856321538,46
82,349438515,191
83,926730074,2
84,919417212,253
85,1274049362,394
86,2491315352,34
87,730516406,8
88,2352271317,5
89,843456570,3
90,2462406974,48
91,415699858,10
92,1338837097,6
93,93473804,3
94,1490209513,57
95,526165058,2
96,920196085,1
97,795548929,11
98,1709904192,20
99,2889536710,1
100,2479948058,11
101,2361386228,7
102,379014080,3
103,329687866,5
104,1320273151,111
105,2179660874,1
106,2439060162,4
107,1416046724,27
108,134477100,49
109,600192998,21
110,1029396727,40
111,14628510,1
112,1180082718,615
113,1295195900,169
114,1364722950,554
115,24095080,1164
116,434257272,8
117,2923431843,16
118,2783313240,1
119,1703892631,37
120,258097478,194
121,443053585,2
122,2268135543,1
123,2257634425,108
124,448141183,21
125,482472641,15
126,2310474146,13
127,879161108,342
128,175790644,2
129,65178069,5
130,433901162,3
131,2890734277,222
132,147308023,144
133,2397773490,25
134,700422019,58
135,1168142094,8
136,534249087,4
137,102647993,20
138,2816343002,37
139,307101017,107
140,42350371,20
141,2532568379,1
142,1049588942,1
143,1855733838,101
144,361617832,18
145,1078667490,2
146,783505537,236
147,163568329,5
148,275283416,1
149,1166200129,2
150,501593271,28
151,1643639449,2
152,2378312562,6
153,502319444,49
154,189787944,60
155,278210562,2
156,377651641,7
157,2407895298,114
158,1626130698,8
159,1359120055,6
160,293155545,2
161,1524773546,92
162,823509727,41
163,226872631,2
164,2592611609,380
165,2171252481,18
166,1233965370,10
167,2197045574,626
168,2434326714,28
169,2243871212,41
170,574622010,18
171,551446095,1
172,2347446410,55
173,2898116686,8
174,2796318989,44
175,454038743,3
176,546406104,68
177,1892093323,14
178,892307220,21
179,2709444164,142
180,2559537181,2
181,2322857106,3
182,1690619816,92
183,2343509970,1
184,909579306,3
185,984713353,7
186,2942180530,135
187,220099114,1
188,2911238439,3
189,58550871,15
190,25684703,32
191,164426771,2
192,461963335,85
193,22276914,1704
194,376204807,16
195,2723859211,263
196,543743852,1
197,1510985774,2096
198,2761724141,7
199,1019018251,9
200,1697255982,10
201,189205853,39
202,2784156223,76
203,105545516,75
204,2788570141,36
205,2203768645,10
206,2241449812,4
207,2783445650,36
208,409912310,1
209,539106382,322
210,2715911565,1
211,2246265828,206
212,21191808,429
213,1683497720,10
214,1401997693,16
215,363714559,252
216,41876168,7
217,1500241862,11
218,901368342,13
219,2351635588,16
220,1444137686,137
221,2178500906,64
222,2198963701,37
223,290317570,2
224,1139904062,14
225,993728448,8
226,610111393,2
227,301227579,117
228,43173210,4
229,542702277,11
230,2758598147,1
231,336566851,4
232,77561766,2
233,1641620496,4
234,2210426903,1
235,161179777,40
236,170486315,51
237,2460740661,8
238,1304012508,22
239,90781043,21
240,129007523,3
241,59700687,32
242,488708063,13
243,1476485821,6
244,2391006147,1
245,612908969,14
246,128326472,3
247,609453880,30
248,1957006303,903
249,2937100752,12
250,2697458677,8
251,1464339469,30
252,425660142,4
253,1689701665,814
254,2782606368,10
255,1969655130,1834
256,2164747496,206
257,615622931,4
258,52177058,914
259,33228800,15
260,1521049346,6
261,2282405601,5
262,2750133369,4
263,563550339,1
264,100499513,3
265,816896226,97
266,488750073,5
267,309710693,9
268,242557052,11
269,329290518,29
270,599154468,141
271,105616281,19
272,374152589,129
273,2582802502,74
274,2513424296,1
275,2870374667,239
276,286558683,1
277,1626083034,15
278,1070171040,5
279,229679933,4
280,2829523682,36
281,1656141486,6
282,400607343,19
283,1929430225,2
284,2804233412,1
285,1629008868,1
286,1509932953,22
287,2926150677,1
288,2244686394,39
289,104179738,4
290,400452371,2
291,558260060,122
292,516858858,509
293,943786412,32
294,1181508727,25
295,119986449,17
296,2306778852,36
297,2576997559,56
298,145520593,2
299,2370756492,16
300,1271505614,25
301,1280197057,21
302,1136606106,187
303,1047935815,72
304,2301709876,4
305,2709709489,363
306,2159264511,2
307,1468717340,13
308,2260233792,3
309,397056325,7
310,1359670910,4
311,2435814288,11
312,771708702,14
313,2815159305,1
314,2369394235,9
315,290473066,1
316,259219165,2
317,2358795553,1
318,897900631,45
319,1427008184,12
320,2982281722,131
321,42375383,2
322,2601405216,19
323,1335334386,157
324,29402024,689
325,2240879864,2
326,1609958322,7
327,609082769,1
328,1529417953,27
329,561934890,152
330,2851637983,1321
331,2172324931,16
332,124512329,233
333,2610684799,96
334,994111638,3
335,437029671,89
336,344315671,1
337,2984078463,11
338,252641785,1
339,227460808,250
340,2908039661,32
341,755458854,10
342,2160949163,5
343,136886942,352
344,2916568687,6
345,2201868052,2
346,2740352942,4
347,1040283536,5
348,293648085,8
349,1256677638,123
350,2168740571,72
351,2792876797,3850
352,2149765144,1
353,44418897,1
354,1007200291,1
355,2942232156,2
356,46963856,11
357,2427974794,5
358,2264797037,383
359,2790233477,1
360,84141611,8
361,165070531,485
362,375785085,23
363,2601717884,105
364,465536322,129
365,1186097240,8
366,1895838086,117
367,1258093369,11
368,457784581,11
369,2306406000,218
370,1251764749,3
371,2463924186,42
372,540363534,32
373,262141360,42
374,459965982,2
375,1150676180,71
376,223089355,199
377,2791893672,16
378,191937167,2
379,709521414,54
380,2468525499,10
381,626625667,6
382,87570747,36
383,2239697738,18
384,1598166786,48
385,2527818078,62
386,2240485069,3
387,864632208,6
388,825615626,23
389,2610064755,1
390,428347223,37
391,819984842,11
392,184548977,14
393,539409753,446
394,1328094192,9
395,509055813,22
396,39448509,1
397,248183973,33
398,1188775454,893
399,290712377,139
400,2195033150,3
401,1385023050,3
402,335271289,745
403,1186679305,4
404,826919089,4
405,225199355,884
406,1565870690,1
407,459185629,1
408,1596071324,4
409,2494249362,15
410,471558473,84
411,108512373,1
412,87177298,287
413,508285778,57
414,1464214166,3
415,149062796,1
416,2888716178,157
417,555533734,112
418,269900700,4
419,2731217093,109
420,466809710,13
421,2591744738,4
422,2508410389,8
423,2484259743,2
424,1385038514,8
425,1965092060,33
