id,timeline_lowest_id,timeline_tweets_pulled,tweet_count
225135203,13325671522635776,2761,2761
2615375531,561487409591115776,2630,2630
505119799,173914127729823747,2,2
2265166851,420181835008970752,9,9
16013140,365372025780441088,3200,6499
2877700560,534317883166564352,8,8
2993322675,560634919357931521,3,3
2309613100,428660073012150272,3,3
424588619,141661898239250432,1,1
456429160,155432078035525633,89,89
353027915,103089445393285122,1,1
848583612,251162736854192129,478,478
2268404497,421485051377774592,6,6
2481376888,-1,1,1
40506233,178109934666395648,134,134
343771800,104011625652170752,62,62
262009355,89558393647403008,15,15
2991780403,1071950037435981825,55,55
346091458,105277961472720896,190,190
546209062,188285643728756737,5,5
2895177840,531635479926435840,1,1
1945336117,396293459880845312,1,1
1033593198,283346025127755777,5,5
2427563186,452130527223377920,384,384
2850484600,558025454918303745,1,1
119102560,92588912106672128,3,3
2411104652,526182378516267008,109,109
484807036,166603295153061888,7,7
893396503,259674338733740032,3,3
2956489588,550982171042009088,106,106
1542637344,349056747635355649,123,123
2273447124,418827611033198592,12,12
1026819055,298961261880815617,1,1
2345387174,434784176718356480,32,32
261702046,44403783119286272,1,1
1652341693,365129031022166017,1,1
769601599,421323431586844672,73,73
196615003,75485797331116032,1657,1657
2800966844,510182859059900417,98,98
249929601,1097909834228338688,3200,30572
2370101636,441925711847100416,55,55
1681988923,369475415552700416,1,1
2720711175,491582106108448768,1,1
567999693,197233632056840192,31,31
157901942,16676538437,213,213
496582789,178362479066361856,14,14
397219702,387895049859502080,1,1
1334443194,320992451676479488,35,35
2822592007,513827022947090432,5,5
341778642,252611449472557056,3200,11518
2616719029,487457599508328448,305,305
381495170,119030612467261440,6,6
412573101,136205411413004288,3,3
968461453,272441409007669249,4,4
225181662,86550161052024832,3200,9509
190791930,252574135052537856,10,10
791111262,833689197198336001,115,115
2328792356,434542886013513728,2,2
2578246652,479894670533611521,1,1
1270240093,463524369936183296,45,45
2849392503,527354381315112960,81,81
872834887,256232128294039552,1567,1567
975543636,273699511417843713,47,47
1771747148,402614626397196288,3,3
2764752423,512604461202944000,2,2
1578456198,558099726500126722,3,3
160592406,17262569352,1,1
1063224589,287584339389202432,1,1
1123734572,295699658938929152,213,213
1016042786,280413460179845120,1,1
208984235,7893087774834688,1,1
1051705920,287097737168707584,433,433
481091291,166083176450637824,308,308
50948962,89071212210298880,31,31
1510365823,345127839718318081,1,1
168481976,689466889035059200,3,3
1122179756,303202194931470337,2,2
186096628,22808544255,46,46
1535430458,347885466911133697,22,22
544263702,187354877624713216,10,10
549995057,651811172455448576,3200,7944
336780011,92356575838220288,3,3
2202216320,402601196432523264,4,4
1082617446,290054376159080448,1,1
2562584477,470323257833689090,4,4
614340292,229965610107416576,1,1
2969452936,553585579800408065,1,1
519965545,179369218658152448,3,3
135877234,12821673427,1,1
2236161966,411332201477730304,6,6
1416014389,332600270318092289,1222,1222
1547387575,349760309675831296,129,129
119918085,106447960329551872,5,5
993753506,276793771755192320,1,1
240868659,364829237775048705,2,2
75134200,10391363964,1,1
472010073,161451082357288961,1,1
467651826,159699024885194752,4,4
2976066886,554911508002791424,1,1
2147697002,399633293894643712,18,18
2434716548,453713427257503744,3,3
1164853567,300453494404550657,78,78
624276178,219875181827588096,15,15
1698342758,371521200297476096,8,8
411768810,350193707309465602,3200,4167
2944363134,554535849291837441,3,3
997420922,279295097969967104,13,13
1648007365,364848016231899137,123,123
2906735241,935313923716329474,1,1
277618871,159726352533164032,78,78
272461505,266413317847932928,70,70
449006149,564809857270702080,1,1
49050186,2254633067,25,25
1532408917,347525442934284290,7,7
724597916,229750271578890240,3,3
2281068458,420641549781708800,1,1
719504371,233483996049317888,2,2
608990816,213590500945575936,4,4
713289463,351768506099970048,1,1
175535814,20502465892,176,176
1444811036,719932365267673088,3200,5001
2268174274,423263589642686464,5,5
1900409442,382492218159665153,4,4
2928655459,543768961930633216,28,28
311925407,199824127685689345,2,2
2942583772,551795113807314945,41,41
114819226,9198342169,1,1
2325395982,430321463262855168,32,32
2493246702,1177522120261173249,35,35
213722380,2039849590722560,5,5
2831686471,515119072158031872,5,5
754275901,235287283283148801,86,86
1555512259,380600215842979840,3,3
321153176,83255005024497664,3,3
2827661702,514329775611969536,7,7
2241219637,410845393472061440,1,1
117713951,9673352879,1,1
2892991696,537467302846140416,11,11
535973801,183780750078906369,97,97
602610658,211033457919410176,12,12
2392660048,444527384222793729,1,1
2330537227,431550474794196994,44,44
2844098446,536171876981420032,195,195
2995866445,559329632306999297,5,5
1959253472,391276999710629888,5,5
249867297,260494249525669888,1,1
2952351458,550675073305038848,1,1
2693927719,494725630978584576,2970,2970
21435463,1232114297,6,6
236473199,261318458350895104,7,7
2797655264,513564198492585986,1,1
